Scientific name	Common name	Group	Wt in kg	Axial (mm)	Reference for axial length	Reference for weight	Quality
Hirundo rustica	Barn swallow	Birds	0.0255	9.314	Hughes (1977)	Hughes (1977)	Group 3
Hydrobates pelagicus	Storm petrel	Birds	0.0465	6.750	Rochon-DuVigneaud (1943)	Perrins (1985)	Group 3
Lagopus lagopus	Willow ptarmigan	Birds	0.5410	11.604	Note 30	Altman (1962)	Group 6
Larus Philadelphia	Bonaparte's gull	Birds	0.2050	12.249	Note 30	Altman (1962)	Group 6
Larus argentatus	Herring gull	Birds	0.5350	16.542	Note 30	Altman (1962)	Group 6
Larus delawarensis	Ring-billed gull	Birds	0.7200	17.225	Note 30	Altman (1962)	Group 6
Larus ridibundus	Black headed gull	Birds	1.0450	11.500	Rochon-DuVigneaud (1943)	Perrins (1985)	Group 3
Leptoptilus crumeniferus	Marabou stork	Birds	7.1300	25.350	Note 30	Altman (1962)	Group 6
Melopsittacus undulatus	Budgie	Birds	0.0077	6.000	Miller, Note 16	Note 22	Group 4
Mergus serrator	Red-breasted merganser	Birds	0.7700	11.734	Note 30	Altman (1962)	Group 6
Motacilla flava	Yellow wagtail	Birds	0.0327	9.314	Hughes (1977)	Hughes (1977)	Group 3
Nymphicus hollandicus	Cockatiel	Birds	9.1550	8.500	Miller, Note 16	Note 22	Group 4
Nyroca affnis	Lesser scaup	Birds	1.0410	11.929	Note 30	Altman (1962)	Group 6
Nyroca marila	Greater scaup	Birds	0.7870	10.102	Note 30	Altman (1962)	Group 6
Passer domesticus	House sparrow	Birds	0.0367	6.417	Hughes (1977)	Hughes (1977)	Group 3
Pelecanus occidentalis	Brown pelican	Birds	3.2900	19.523	Note 30	Altman (1962)	Group 6
Phalacrocorax carbo	Great cormorant	Birds	3.6300	15.000	Rochon-DuVigneaud (1943)	Terres (1980)	Group 3
Phasianus colchicus	Ring-necked pheasant	Birds	0.6250	14.601	Note 30	Altman (1962)	Group 6
Phoeniconaias minor	Lesser flamingo	Birds	1.5405	12.572	Note 30	Altman (1962)	Group 6
Puffinus griseus	Sooty shearwater	Birds	0.2680	12.416	Note 30	Altman (1962)	Group 6
Puffinus puffinus	Manx shearwater	Birds	0.4420	11.820	Martin (1991)	Terres (1980)	Group 3
Quiscalus quiscula	Common grackle	Birds	0.2370	8.100	Rochon-DuVigneaud (1943)	Perrins (1985)	Group 3
Ramphastos toco	Toco toucan	Birds	0.6250	18.370	Murphy, Note 14	Murphy, Note 14	Group 1
Serinus canarius	Island canary	Birds	0.0162	5.496	Note 30	Altman (1962)	Group 6
Spheniscus humboldti	Humboldt penguin	Birds	25.0460	20.500	Sivak (1987b)	Note 27	Group 5
Spheniscus magellanicus	Magellanic penguin	Birds	25.2900	27.300	Howland (1984)	Note 25	Group 5
Strix aluco	Tawny owl	Birds	0.4145	22.854	Hughes (1977)	Hughes (1977)	Group 3
Strix nebulosa	Great gray owl	Birds	4.0000	14.000	Rochon-DuVigneaud (1943)	Perrins (1990)	Group 3
Struthio camelus	Ostrich	Birds	99.2008	44.220	Hughes (1977)	Hughes (1977)	Group 3
Sturnus vulgaris	European starling	Birds	0.0762	7.920	Martin (1991)	Terres (1980)	Group 3
Sylvia atricapilla	Blackcap	Birds	0.0070	7.750	Rochon-DuVigneaud (1943)	Terres (1980)	Group 3
Unknown	Owl	Birds	0.0900	10.817	Hughes (1977)	Hughes (1977)	Group 3
Unknown	Parrot	Birds	0.3605	15.157	Hughes (1977)	Hughes (1977)	Group 3
Acipenser ruthenus	Sterlet	Fishes	37.1900	6.000	Rochon-DuVigneaud (1943)	Note 13	Group 5
Acipenser ruthenus	Sterlet	Fishes	66.2700	6.000	Rochon-DuVigneaud (1943)	Wheeler (1985)	Group 3
Alosa alabamae	Alabama shad	Fishes	0.6150	10.381	Note 30	Altman (1962)	Group 6
Aplodinotus grunniens	Freshwater drum	Fishes	0.9370	15.906	Note 30	Altman (1962)	Group 6
Balistes capriscus	Grey triggerfish	Fishes	0.2950	12.529	Note 30	Altman (1962)	Group 6
Callionymus lyra	Dragonet	Fishes	0.5350	3.600	Rochon-DuVigneaud (1943)	Note 21	Group 5
Carangoides bartholomaei	Yellow jack	Fishes	4.8120	22.775	Note 30	Altman (1962)	Group 6
Caranx hippos	Crevallejack	Fishes	2.3050	26.878	Note 30	Altman (1962)	Group 6
Carassius auratus	Goldfish	Fishes	0.0108	3.456	Hughes (1977)	Hughes (1977)	Group 3
Carcharias littoralis	Sand shark	Fishes	35.6050	30.421	Note 30	Altman (1962)	Group 6
Coregonus clupeaformis	Lake whitefish	Fishes	0.7726	11.377	Note 30	Altman (1962)	Group 6
Coryphaena hippurus	Common dolphinfish	Fishes	19.0400	33.427	Note 30	Altman (1962)	Group 6
Cyprinus carpio	Common carp	Fishes	1.0510	12.070	Note 30	Altman (1962)	Group 6
Dasyatis pastinaca	Common stingray	Fishes	1.8300	12.000	Rochon-DuVigneaud (1943)	Allyn (1947)	Group 3
Dasyatis sabina	Atlantic stingray	Fishes	17.5800	26.165	Note 30	Altman (1962)	Group 6
Epinephelus itajara	Itajara	Fishes	32.8900	26.972	Note 30	Altman (1962)	Group 6
Erpetoichthys calabaricus	Reedfish	Fishes	0.5680	2.250	Rochon-DuVigneaud (1943)	Note 21	Group 5
Esox lucius	Northern pike	Fishes	0.3630	14.204	Note 30	Altman (1962)	Group 6
Euthynnus alletteratus	Little tunny	Fishes	6.2910	27.025	Note 30	Altman (1962)	Group 6
Gadus ogac	Greenland cod	Fishes	2.5715	25.022	Note 30	Altman (1962)	Group 6
Galeocerdo cuvier	Tiger shark	Fishes	200.0000	37.227	Note 30	Altman (1962)	Group 6
Gymnothorax funebris	Green moray	Fishes	3.5100	9.338	Note 30	Altman (1962)	Group 6
Haemulon plumieri	Grunt	Fishes	0.3000	13.778	Note 30	Altman (1962)	Group 6
Haplochromis burtoni	African cichlid fish	Fishes	0.3190	4.037	Kroger (1994)	Note 8	Group 5
Itiophorus albicans	Atlantic sailfish	Fishes	25.2000	40.785	Note 30	Altman (1962)	Group 6
Labrus melops	Corkwing wrasse	Fishes	0.3330	2.200	Rochon-DuVigneaud (1943)	Note 21	Group 5
Labrus mixtus	Cuckoo wrasse	Fishes	0.3330	8.500	Rochon-DuVigneaud (1943)	Nelson (1984)	Group 3
Lachnolaimus maximus	Hogfish	Fishes	0.4800	14.273	Note 30	Altman (1962)	Group 6
Leuciscus rutilus	Roach	Fishes	0.2640	3.500	Rochon-DuVigneaud (1943)	Note 21	Group 5
Lutjanus analis	Mutton snapper	Fishes	2.4900	22.367	Note 30	Altman (1962)	Group 6
Melanogrammus	Haddock	Fishes	3.2750	24.815	Note 30	Altman (1962)	Group 6
Mycteroperca bonaci	Black grouper	Fishes	2.7120	19.755	Note 30	Altman (1962)	Group 6
Myoxocephalus	Longhorn sculpin	Fishes	0.7820	10.000	Miller, Note 16	Note 21	Group 4
Negaprion brevirostris	Lemon shark	Fishes	92.9870	15.000	Hueter (1991)	Allyn (1947)	Group 3
Neogobius fluviatilis	Monkey goby	Fishes	0.3940	4.800	Rochon-DuVigneaud (1943)	Note 21	Group 5
Ocyurus chrysurus	Yellowtail snapper	Fishes	0.2550	13.495	Note 30	Altman (1962)	Group 6
Oncorhynchus mykiss	Rainbow trout	Fishes	2.7500	13.654	Note 30	Altman (1962)	Group 6
Oncorhynchus mykiss	Rainbow trout	Fishes	0.9000	6.400	Rochon-DuVigneaud (1943)	Note 9	Group 4
Perca flavescens	Yellow perch	Fishes	0.1795	8.805	Note 30	Altman (1962)	Group 6
Periophtalmus barbarus	Mudhopper	Fishes	0.1714	5.330	Rochon-DuVigneaud (1943)	Note 19	Group 5
Petromyzon marinus	Grand lamprey	Fishes	1.0490	6.000	Rochon-DuVigneaud (1943)	Carlander (1969)	Group 3
Polypterus endlicheri	Bichir	Fishes	0.5680	6.000	Rochon-DuVigneaud (1943)	Note 21	Group 5
Porichthys notatus	Plainfin midshipman	Fishes	0.0101	3.750	Dissection, Note 6	Bass, Note 7	Group 1
Porichthys notatus	Plainfin midshipman	Fishes	0.0065	2.750	Dissection, Note 6	Bass, Note 7	Group 1
Porichthys notatus	Plainfin midshipman	Fishes	0.0056	3.375	Dissection, Note 6	Bass, Note 7	Group 1
Porichthys notatus	Plainfin midshipman	Fishes	0.0090	4.000	Dissection, Note 6	Bass, Note 7	Group 1
Porichthys notatus	Plainfin midshipman	Fishes	0.0034	2.863	Dissection, Note 6	Bass, Note 7	Group 1
Porichthys notatus	Plainfin midshipman	Fishes	0.0094	3.750	Dissection, Note 6	Bass, Note 7	Group 1
Porichthys notatus	Plainfin midshipman	Fishes	0.0050	3.000	Dissection, Note 6	Bass, Note 7	Group 1
Porichthys notatus	Plainfin midshipman	Fishes	0.0063	3.000	Dissection, Note 6	Bass, Note 7	Group 1
Porichthys notatus	Plainfin midshipman	Fishes	0.0039	2.875	Dissection, Note 6	Bass, Note 7	Group 1
Romboplites aurorubens	Vermilion snapper	Fishes	0.2020	11.414	Note 30	Altman (1962)	Group 6
Salmo salar	Atlantic salmon	Fishes	5.1415	16.674	Note 30	Altman (1962)	Group 6
Salmo trutta	Sea trout	Fishes	0.2920	11.027	Note 30	Altman (1962)	Group 6
Salvelinus fontinalus	Brook trout	Fishes	0.6150	4.750	Rochon-DuVigneaud (1943)	Bellairs (1970)	Group 3
Salvelinus namaycush	Lake trout	Fishes	2.8700	16.928	Note 30	Altman (1962)	Group 6
Scomberomorus	Spanish mackerel	Fishes	1.4570	16.662	Note 30	Altman (1962)	Group 6
Scyliorhinus stellaris	Cat shark	Fishes	102.2500	16.000	Rochon-DuVigneaud (1943)	Note 18	Group 5
Sinilabeo dero	Kalabans	Fishes	0.9186	3.000	Rochon-DuVigneaud (1943)	Note 21	Group 5
Sphyraena barracuda	Great barracuda	Fishes	8.7730	28.383	Note 30	Altman (1962)	Group 6
Tetrapturus albidus	Atlantic white marlin	Fishes	24.9400	46.371	Note 30	Altman (1962)	Group 6
Thunnus thynnis	Northern bluefin tuna	Fishes	5.2100	36.856	Note 30	Altman (1962)	Group 6
Torpedo torpedo	Common torpedo	Fishes	0.3450	9.132	Note 30	Altman (1962)	Group 6
Trachinotus ovatus	Derbio	Fishes	8.5040	35.875	Note 30	Altman (1962)	Group 6
Aepyceros melampus	Impala	Mammals	37.8600	29.506	Note 30	Altman (1962)	Group 6
Alcelaphus cokei	Red Hartebeest	Mammals	134.0000	29.208	Note 30	Altman (1962)	Group 6
Artibeus cinereus	Gervais's fruit eating bat	Mammals	0.1035	4.400	Pettigrew (1988)	Grzimek (1990)	Group 3
Balaena mysticetus	Bowhead whale	Mammals	75000	45.571	Andersen (1971)	Grzimek (1990)	Group 3
Balaenoptera musculus	Blue whale	Mammals	105000	107.000	Altman (1962)	Grzimek (1990)	Group 3
Bos taurus	Beefalo	Mammals	816.4700	37.000	Miller, Note 16	Rouse (1973)	Group 2
Bos taurus	Brown Swiss	Mammals	680.4000	30.000	Miller, Note 16	Gay (1914)	Group 2
Bos taurus	Guernsey	Mammals	544.3200	29.000	Miller, Note 16	Gay (1914)	Group 2
Bos taurus	Hereford	Mammals	907.1900	30.000	Miller, Note 16	Rouse (1973)	Group 2
Bos taurus	Holstein	Mammals	759.7800	28.000	Miller, Note 16	Gay (1914)	Group 2
Bos taurus	Jersey Cow	Mammals	521.6400	37.000	Miller, Note 16	Gay (1914)	Group 2
Bos taurus	Red Angus	Mammals	691.7400	31.000	Miller, Note 16	Rouse (1973)	Group 2
Bos taurus	Red Holstein	Mammals	873.1700	30.000	Miller, Note 16	Rouse (1973)	Group 2
Bos taurus	Simmental	Mammals	918.5300	25.000	Miller, Note 16	Rouse (1973)	Group 2
Canis latrans	Coyote	Mammals	8.5100	18.658	Note 30	Altman (1962)	Group 6
Cam's lupus	Wolf	Mammals	47.5000	22.560	Andersen (1971)	Grzimek (1990)	Group 3
Canis lupus f. familiaris	Cocker spaniel	Mammals	9.0700	21.000	Miller, Note 16	Hutchinson (1935)	Group 2
Canis lupus f. familiaris	Collie	Mammals	23.8100	17.000	Miller, Note 16	Hutchinson (1935)	Group 2
Canis lupus f. familiaris	Doberman	Mammals	31.7500	16.000	Miller, Note 16	American Kennel Club (1938)	Group 2
Canis lupus f. familiaris	Dog	Mammals	13.0723	20.146	Hughes (1977)	Hughes (1977)	Group 3
Canis lupus f. familiaris	Golden retriever	Mammals	27.9000	22.500	Miller, Note 16	American Kennel Club (1938)	Group 2
Canis lupus f. familiaris	Pekingese	Mammals	3.4000	17.000	Miller, Note 16	Hutchinson (1935)	Group 2
Canis lupus f. familiaris	Pomeranian	Mammals	9.0700	20.000	Miller, Note 16	Hutchinson (1935)	Group 2
Canis lupus f. familiaris	Siberian huskie	Mammals	30.6200	22.000	Miller, Note 16	American Kennel Club (1938)	Group 2
Canis lupus f. familiaris	Basset hound	Mammals	20.4100	25.000	Miller, Note 16	Hutchinson (1935)	Group 1
Capra hircus	Dwarf goat	Mammals	27.6600	25.843	Note 30	Altman (1962)	Group 6
Capreolus capreolus	Roe deer	Mammals	17.5000	22.000	Rochon-DuVigneaud (1943)	Grzimek (1990)	Group 3
Castor canadensis	American beaver	Mammals	5.0050	9.578	Note 30	Altman (1962)	Group 6
Castor fiber	European beaver	Mammals	24.3500	11.280	Andersen (1971)	Grzimek (1990)	Group 3
Crocuta crocuta	Spotted hyena	Mammals	62.3700	28.684	Note 30	Altman (1962)	Group 6
Cystophora cristata	Hooded seal	Mammals	375.0000	55.000	Sivak (1987a)	Grzimek (1990)	Group 3
Delphinapterus leucas	Beluga whale	Mammals	375.1300	25.034	Note 30	Altman (1962)	Group 6
Delphinus delphis	Common dolphin	Mammals	51.2277	20.564	Hughes (1977)	Hughes (1977)	Group 3
Diceros bicornis	Black rhinoceros	Mammals	764.0000	23.621	Note 30	Altman (1962)	Group 6
Didelphis virginiana	Opossum	Mammals	4.0500	10.000	Martin (1991)	Whitaker (1980)	Group 3
Dugong dugon	Dugong	Mammals	143.2072	21.935	Hughes (1977)	Hughes (1977)	Group 3
Elephas asiaticus	Asian elephant	Mammals	4263.8100	30.456	Andersen (1971)	Grzimek (1990)	Group 3
Elephas asiaticus	Asian elephant	Mammals	4263.8100	40.000	Miller, Note 16	Grzimek (1990)	Group 2
Enhydra lutris	Sea otter	Mammals	27.0000	14.000	Murphy (1990)	Grzimek (1990)	Group 3
Equus burchelli	Zebra	Mammals	338.1256	50.018	Hughes (1977)	Hughes (1977)	Group 3
Equus burchelli	Zebra	Mammals	300.0000	35.000	Miller, Note 16	Grzimek (1990)	Group 2
Equus caballus	1/2 Arabian	Mammals	430.9200	41.000	Miller, Note 16	Patten (1960)	Group 3
Equus caballus	American saddlebreed	Mammals	476.2800	40.000	Miller, Note 16	Patten (1960)	Group 2
Equus caballus	Appaloosa	Mammals	504.6300	32.000	Miller, Note 16	Patten (1960)	Group 2
Equus caballus	Arabian	Mammals	430.9200	36.000	Miller, Note 16	Patten (1960)	Group 6
Equus caballus	Connemara	Mammals	351.5400	42.000	Miller, Note 16	Patten (1960)	Group 3
Equus caballus	Horse	Mammals	694.3845	41.962	Andersen (1971)	Hughes (1977)	Group 3
Equus caballus	Horse	Mammals	694.3845	40.733	Hughes (1977)	Hughes (1977)	Group 3
Equus caballus	Morgan	Mammals	476.2800	37.000	Miller, Note 16	Patten (1960)	Group 3
Equus caballus	Palomino	Mammals	476.2800	34.000	Miller, Note 16	Patten (1960)	Group 2
Equus caballus	Pinto	Mammals	453.6000	36.000	Miller, Note 16	Patten (1960)	Group 6
Equus caballus	Quarter Horse	Mammals	487.6200	38.000	Miller, Note 16	Patten (1960)	Group 3
Equus caballus	Shetland pony	Mammals	99.2008	39.324	Hughes (1977)	Hughes (1977)	Group 6
Equus caballus	Standard bred	Mammals	907.1900	42.000	Miller, Note 16	Gay (1914)	Group 3
Equus caballus	Thoroughbred	Mammals	476.2800	45.000	Miller, Note 16	Gay (1914)	Group 3
Equus caballus	Welsh Pony	Mammals	238.7400	35.000	Miller, Note 16	Patten (1960)	Group 3
Erignathus barbatus	Bearded seal	Mammals	281.0000	33.263	Note 30	Altman (1962)	Group 6
Felis capensis	Cape cat	Mammals	7.6870	20.211	Note 30	Altman (1962)	Group 6
Felis catus	Cat	Mammals	3.0544	21.935	Hughes (1977)	Hughes (1977)	Group 3
Felis lynx	Lynx	Mammals	8.7952	30.456	Andersen (1971)	Grzimek (1990)	Group 3
Felis lynx	Lynx	Mammals	8.7932	23.192	Hughes (1977)	Hughes (1977)	Group 3
Felis ocreata	Kaffir cat	Mammals	2.7000	15.535	Note 30	Altman (1962)	Group 6
Felis oreqonensis	Mountain lion	Mammals	28.7900	17.522	Note 30	Altman (1962)	Group 6
Gazella thomsoni	Thomson's gazelle	Mammals	24.3700	24.953	Note 30	Altman (1962)	Group 6
Genetta tigrina	Large spotted genet	Mammals	1.4135	12.796	Note 30	Altman (1962)	Group 6
Giraffa camelopardalis	Giraffe	Mammals	1468.5137	48.147	Hughes (1977)	Hughes (1977)	Group 3
Herpestes auropunctatus	Indian mongoose	Mammals	1.5000	9.000	Nellis (1989)	Grzimek (1990)	Group 3
Hippopotamus amphibius	Hippopotamus	Mammals	1351.0000	29.213	Note 30	Altman (1962)	Group 6
Hippotragus niger	Sable antelope	Mammals	225.0000	30.000	Miller, Note 16	Grzimek (1990)	Group 2
Ichneumia albicauda	White-tailed mongoose	Mammals	4.4000	13.278	Note 30	Altman (1962)	Group 6
Kogia breviceps	Pygmy Sperm Whale	Mammals	500.0000	18.000	Miller, Note 16	Grzimek (1990)	Group 2
Lama glama	Llama	Mammals	142.5000	35.000	Miller, Note 16	Grzimek (1990)	Group 2
Lama guanicoe	Guanaco	Mammals	100.0000	36.000	Miller, Note 16	Grzimek (1990)	Group 2
Lama Pacos	Alpaca	Mammals	60.0000	33.000	Miller, Note 16	Grzimek (1990)	Group 2
Lepus arcticus	Arctic hare	Mammals	2.2705	13.980	Note 30	Altman (1962)	Group 6
Loxodonta africana	African elephant	Mammals	4754.6439	51.206	Hughes (1977)	Hughes (1977)	Group 3
Lutra lutra	Otter	Mammals	8.1706	13.283	Hughes (1977)	Hughes (1977)	Group 3
Macroderma gigas	Ghost bat	Mammals	0.1100	7.000	Pettigrew (1988)	Grzimek (1990)	Group 2
Macropus giganteus	Eastern gray kangaroo	Mammals	49.0000	24.816	Andersen (1971)	Grzimek (1990)	Group 3
Marmota monax	Woodchuck	Mammals	4.5750	11.000	Miller, Note 16	Grzimek (1990)	Group 2
Megaderma lyra	Asian false vampire bat	Mammals	0.1100	4.200	Pettigrew (1988)	Grzimek (1990)	Group 3
Megaptera novaeangliae	Humpback whale	Mammals	43035	61.240	Hughes (1977)	Hughes (1977)	Group 3
Mesoplodon bidens	Sowerby's beaked whale	Mammals	1666.6700	24.000	Miller, Note 16	Grzimek (1990)	Group 2
Mustela arctica	Arctic weasel	Mammals	0.1452	4.258	Note 30	Altman (1962)	Group 6
Mustela putorius f. furo	Ferret	Mammals	0.6600	7.500	Murphy, Note 14	Murphy, Note 14	Group 1
Nasua narica	White-nosed coatimundi	Mammals	6.2500	11.091	Note 30	Altman (1962)	Group 6
Nyctophilus gouldi	Gould's long eared bat	Mammals	0.0270	1.900	Pettigrew (1988)	Grzimek (1990)	Group 3
Odobenus rosmarus	Walrus	Mammals	667.0000	24.963	Note 30	Altman (1962)	Group 6
Odocoileus virginianus	Whitetail Deer	Mammals	77.5000	22.000	Miller, Note 16	Grzimek (1990)	Group 2
Ommatophoca rossi	Ross seal	Mammals	183.8193	29.326	Hughes (1977)	Hughes (1977)	Group 3
Ornithorhynchus anatinus	Duckbilled platypus	Mammals	1.4595	4.640	Duke-Elder (1963)	Grzimek (1990)	Group 3
Otocyon megalotis	Bat-eared fox	Mammals	3.3350	13.961	Note 30	Altman (1962)	Group 6
Ovis aries	Sheep	Mammals	52.1000	26.113	Note 30	Altman (1962)	Group 6
Panthera leo	Lion	Mammals	185.0000	41.000	Miller, Note 16	Grzimek (1990)	Group 2
Panthera onca	Jaguar	Mammals	34.4700	21.614	Note 30	Altman (1962)	Group 6
Panthera tigris	Tiger	Mammals	197.5000	30.000	Miller, Note 16	Grzimek (1990)	Group 2
Panthera tigris tigris	White tiger	Mammals	197.5000	32.000	Miller, Note 16	Grzimek (1990)	Group 2
Phacochoerus aethiopicus	Warthog	Mammals	83.7853	30.200	Hughes (1977)	Hughes (1977)	Group 3
Phoca groenlandica	Harp seal	Mammals	150.0000	29.328	Andersen (1971)	Grzimek (1990)	Group 3
Phoca hispida	Ringed seal	Mammals	39.7200	34.727	Note 30	Altman (1962)	Group 6
Phoca richardii	Spotted seal	Mammals	107.3000	32.847	Note 30	Altman (1962)	Group 6
Phocoena phocoena	Harbor porpoise	Mammals	142.4300	32.198	Note 30	Altman (1962)	Group 6
Phocoena phocoena	Harbor porpoise	Mammals	65.0000	19.000	Rochon-DuVigneaud (1943)	Grzimek (1990)	Group 3
Phocoenoides dalli	Dall's porpoise	Mammals	135.0000	22.000	Miller, Note 16	Grzimek (1990)	Group 2
Physeter catodon	Sperm whale	Mammals	39009	55.286	Note 30	Altman (1962)	Group 6
Pipistrellus pipistrellus	Common pipistrelle	Mammals	0.0055	1.400	Rochon-DuVigneaud (1943)	Grzimek (1990)	Group 3
Plecotus auritus	Brown long-eared bat	Mammals	0.0085	2.707	Andersen (1971)	Grzimek (1990)	Group 3
Plecotus auritus	Brown long-eared bat	Mammals	0.0085	2.100	Rochon-DuVigneaud (1943)	Grzimek (1990)	Group 6
Potamochoerus porcus	Bush pig	Mammals	102.1577	23.192	Hughes (1977)	Hughes (1977)	Group 3
Potos flavus	Kinkajou	Mammals	2.6200	10.363	Note 30	Altman (1962)	Group 6
Pteropus giganteus	Flying fox	Mammals	1.5000	9.650	Neuweiler (1962)	Grzimek (1990)	Group 3
Rangifer tarandus	Reindeer	Mammals	189.0000	30.000	Miller, Note 16	Grzimek (1990)	Group 2
Raphicerus campestris	Steenbok	Mammals	8.6200	20.560	Note 30	Altman (1962)	Group 6
Redunca redunca	Bohor Reedbuck	Mammals	31.7000	26.918	Note 30	Altman (1962)	Group 6
Rhinoceros unicornis	Greater Indian rhinoceros	Mammals	3538.0600	23.000	Duke-Elder (1963)	Grzimek (1990)	Group 3
Rhinolophidae rouxi	Pennisular horseshoe bat	Mammals	0.0220	1.800	Pettigrew (1988)	Grzimek (1990)	Group 6
Rupicapra rupicapra	Chamois	Mammals	38.0000	28.877	Andersen (1971)	Grzimek (1990)	Group 3
Sus scrofa	Wild boar	Mammals	182.0000	24.800	Altman (1962)	Grzimek (1990)	Group 3
Syncerus caffer	African buffalo	Mammals	759.0000	31.782	Note 30	Altman (1962)	Group 6
Tachyglossus aculeatus	Short-nosed echidna	Mammals	4.5000	8.000	Hughes (1977)	Grzimek (1990)	Group 3
Taphozous georgianus	Common sheathtail bat	Mammals	0.0165	3.700	Pettigrew (1988)	Grzimek (1990)	Group 3
Tapirus bairdii	Baird's tapir	Mammals	58.0600	20.564	Note 30	Altman (1962)	Group 6
